,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,40,50,0,0,0,0,0,0,0,3390,0
1,2,52,75,10,10,0,0,0,0,231,551,10
2,3,45,70,30,0,0,0,0,30,133,453,30
3,4,62,69,10,0,0,0,0,10,1087,1407,10
4,5,60,66,10,0,0,0,10,0,1181,1501,10
5,6,42,65,10,10,0,0,0,0,15,335,10
6,7,16,42,20,0,20,0,0,0,417,737,20
7,8,58,70,20,20,0,0,0,0,993,1313,20
8,9,34,60,20,0,0,0,0,20,2807,3127,20
9,10,28,70,10,0,0,10,0,0,2521,2841,10
10,11,35,66,10,0,0,0,10,0,2711,3031,10
11,12,35,69,10,0,10,0,0,0,2618,2938,10
12,13,25,85,20,0,0,0,20,0,2039,2359,20
13,14,22,75,30,30,0,0,0,0,2325,2645,30
14,15,22,85,10,0,0,0,10,0,1946,2266,10
15,16,20,80,40,0,40,0,0,0,2136,2456,40
16,17,20,85,40,0,0,0,0,40,1854,2174,40
17,18,18,75,20,20,0,0,0,0,2231,2551,20
18,19,15,75,20,0,0,20,0,0,1662,1982,20
19,20,15,80,10,10,0,0,0,0,1757,2077,10
20,21,30,50,10,0,0,0,10,0,10,330,10
21,22,30,56,20,0,20,0,0,0,2903,3223,20
22,23,28,52,20,0,0,20,0,0,12,332,20
23,24,14,66,10,0,0,0,10,0,1563,1883,10
24,25,25,50,10,0,10,0,0,0,36,356,10
25,26,22,66,40,40,0,0,0,0,2424,2744,40
26,27,8,62,10,10,0,0,0,0,1465,1785,10
27,28,23,52,10,0,10,0,0,0,129,449,10
28,29,4,55,20,0,0,20,0,0,1367,1687,20
29,30,20,50,10,0,10,0,0,0,318,638,10
30,31,20,55,10,0,0,0,0,10,223,543,10
31,32,10,35,20,0,0,0,20,0,701,1021,20
32,33,10,40,30,0,30,0,0,0,513,833,30
33,34,8,40,40,0,40,0,0,0,605,925,40
34,35,8,45,20,0,0,20,0,0,1266,1586,20
35,36,5,35,10,0,10,0,0,0,796,1116,10
36,37,5,45,10,0,10,0,0,0,1173,1493,10
37,38,2,40,20,20,0,0,0,0,891,1211,20
38,39,0,40,30,0,0,0,30,0,983,1303,30
39,40,0,45,20,20,0,0,0,0,1078,1398,20
40,41,36,18,10,0,0,0,10,0,1739,2059,10
41,42,35,32,10,10,0,0,0,0,2678,2998,10
42,43,33,32,20,0,20,0,0,0,2586,2906,20
43,44,33,35,10,0,0,10,0,0,2493,2813,10
44,45,32,20,10,0,0,0,0,10,1833,2153,10
45,46,30,30,10,0,10,0,0,0,2025,2345,10
46,47,34,25,30,0,0,0,0,30,1929,2249,30
47,48,30,35,10,0,0,10,0,0,2400,2720,10
48,49,36,40,10,0,0,0,0,10,2776,3096,10
49,50,48,20,10,0,0,0,10,0,887,1207,10
50,51,26,32,10,0,0,0,10,0,2212,2532,10
51,52,25,30,10,0,10,0,0,0,2120,2440,10
52,53,25,35,10,0,10,0,0,0,2305,2625,10
53,54,44,5,20,0,20,0,0,0,1176,1496,20
54,55,42,10,40,0,40,0,0,0,1080,1400,40
55,56,42,15,10,0,10,0,0,0,985,1305,10
56,57,40,5,30,0,0,30,0,0,1270,1590,30
57,58,38,15,40,0,0,0,40,0,1645,1965,40
58,59,38,5,30,0,0,30,0,0,1362,1682,30
59,60,38,10,10,0,0,0,10,0,1550,1870,10
60,61,35,5,20,0,20,0,0,0,1455,1775,20
61,62,50,30,10,0,0,0,0,10,321,641,10
62,63,50,35,20,0,20,0,0,0,40,360,20
63,64,50,40,50,0,0,0,0,50,14,334,50
64,65,48,30,10,10,0,0,0,0,413,733,10
65,66,44,25,10,0,0,10,0,0,791,1111,10
66,67,47,35,10,0,0,0,10,0,508,828,10
67,68,47,40,10,0,0,0,0,10,12,332,10
68,69,42,30,10,0,0,10,0,0,696,1016,10
69,70,45,35,10,0,10,0,0,0,600,920,10
70,71,95,30,30,0,0,30,0,0,2241,2561,30
71,72,95,35,20,0,20,0,0,0,2146,2466,20
72,73,53,30,10,10,0,0,0,0,228,548,10
73,74,92,30,10,0,0,0,10,0,2334,2654,10
74,75,53,35,50,0,0,0,0,50,133,453,50
75,76,45,65,20,0,0,20,0,0,38,358,20
76,77,90,35,10,0,0,10,0,0,2051,2371,10
77,78,72,45,10,0,0,0,10,0,2820,3140,10
78,79,78,40,20,0,20,0,0,0,2722,3042,20
79,80,87,30,10,0,0,0,0,10,2528,2848,10
80,81,85,25,10,0,0,0,10,0,2433,2753,10
81,82,85,35,30,0,0,30,0,0,2623,2943,30
82,83,75,55,20,0,0,0,20,0,1845,2165,20
83,84,72,55,10,0,0,0,10,0,1752,2072,10
84,85,70,58,20,0,20,0,0,0,1561,1881,20
85,86,86,46,30,0,30,0,0,0,1949,2269,30
86,87,66,55,10,0,0,0,0,10,1656,1976,10
87,88,64,46,20,0,20,0,0,0,2955,3275,20
88,89,65,60,30,0,0,30,0,0,1466,1786,30
89,90,56,64,10,0,0,10,0,0,1275,1595,10
90,91,60,55,10,0,0,0,0,10,2959,3279,10
91,92,60,60,10,0,0,0,10,0,1371,1691,10
92,93,67,85,20,20,0,0,0,0,614,934,20
93,94,42,58,40,40,0,0,0,0,8,328,40
94,95,65,82,10,0,0,0,0,10,708,1028,10
95,96,62,80,30,0,0,0,30,0,801,1121,30
96,97,62,40,10,0,10,0,0,0,2921,3241,10
97,98,60,85,30,0,0,0,30,0,517,837,30
98,99,58,75,20,0,0,0,0,20,898,1218,20
99,100,55,80,10,0,0,0,0,10,327,647,10
100,101,55,85,20,0,0,0,20,0,422,742,20
