,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,35,35,0,0,0,0,0,0,0,1000,0
1,2,41,49,10,10,0,0,0,0,707,848,10
2,3,35,17,7,0,0,0,0,7,143,282,7
3,4,55,45,13,0,0,0,0,13,527,584,13
4,5,55,20,19,0,0,0,19,0,678,801,19
5,6,15,30,26,26,0,0,0,0,34,209,26
6,7,25,30,3,0,3,0,0,0,415,514,3
7,8,20,50,5,5,0,0,0,0,331,410,5
8,9,10,43,9,0,0,0,0,9,404,481,9
9,10,55,60,16,0,0,16,0,0,400,497,16
10,11,30,60,16,0,0,0,16,0,577,632,16
11,12,20,65,12,0,12,0,0,0,206,325,12
12,13,50,35,19,0,0,0,19,0,228,345,19
13,14,30,25,23,23,0,0,0,0,690,827,23
14,15,15,10,20,0,0,0,20,0,32,243,20
15,16,30,5,8,0,8,0,0,0,175,300,8
16,17,10,20,19,0,0,0,0,19,272,373,19
17,18,5,30,2,2,0,0,0,0,733,870,2
18,19,20,40,12,0,0,12,0,0,377,434,12
19,20,15,60,17,17,0,0,0,0,269,378,17
20,21,45,65,9,0,0,0,9,0,581,666,9
21,22,45,20,11,0,11,0,0,0,214,331,11
22,23,45,10,18,0,0,18,0,0,409,494,18
23,24,55,5,29,0,0,0,29,0,206,325,29
24,25,65,35,3,0,3,0,0,0,704,847,3
25,26,65,20,6,6,0,0,0,0,817,956,6
26,27,45,30,17,17,0,0,0,0,588,667,17
27,28,35,40,16,0,16,0,0,0,104,255,16
28,29,41,37,16,0,0,16,0,0,114,255,16
29,30,64,42,9,0,9,0,0,0,190,313,9
30,31,40,60,21,0,0,0,0,21,259,354,21
31,32,31,52,27,0,0,0,27,0,152,275,27
32,33,35,69,23,0,23,0,0,0,660,777,23
33,34,53,52,11,0,11,0,0,0,45,200,11
34,35,65,55,14,0,0,14,0,0,529,614,14
35,36,63,65,8,0,8,0,0,0,686,813,8
36,37,2,60,5,0,5,0,0,0,41,208,5
37,38,20,20,8,8,0,0,0,0,606,693,8
38,39,5,5,16,0,0,0,16,0,302,405,16
39,40,60,12,31,31,0,0,0,0,33,224,31
40,41,40,25,9,0,0,0,9,0,360,437,9
41,42,42,7,5,5,0,0,0,0,396,511,5
42,43,24,12,5,0,5,0,0,0,25,172,5
43,44,23,3,7,0,0,7,0,0,620,705,7
44,45,11,14,18,0,0,0,0,18,233,340,18
45,46,6,38,16,0,16,0,0,0,29,189,16
46,47,2,48,1,0,0,0,0,1,515,628,1
47,48,8,56,27,0,0,27,0,0,85,250,27
48,49,13,52,36,0,0,0,0,36,773,906,36
49,50,6,68,30,0,0,0,30,0,501,540,30
50,51,47,47,13,0,0,0,13,0,547,642,13
51,52,49,58,10,0,10,0,0,0,348,453,10
52,53,27,43,9,0,9,0,0,0,174,299,9
53,54,37,31,14,0,14,0,0,0,414,489,14
54,55,57,29,18,0,18,0,0,0,641,734,18
55,56,63,23,2,0,2,0,0,0,620,739,2
56,57,53,12,6,0,0,6,0,0,585,692,6
57,58,32,12,7,0,0,0,7,0,421,530,7
58,59,36,26,18,0,0,18,0,0,849,980,18
59,60,21,24,28,0,0,0,28,0,17,229,28
60,61,17,34,3,0,3,0,0,0,721,862,3
61,62,12,24,13,0,0,0,0,13,290,377,13
62,63,24,58,19,0,19,0,0,0,163,302,19
63,64,27,69,10,0,0,0,0,10,34,191,10
64,65,15,77,9,9,0,0,0,0,214,333,9
65,66,62,77,20,0,0,20,0,0,49,188,20
66,67,49,73,25,0,0,0,25,0,592,693,25
67,68,67,5,25,0,0,0,0,25,294,401,25
68,69,56,39,36,0,0,36,0,0,637,752,36
69,70,37,47,6,0,6,0,0,0,162,293,6
70,71,37,56,5,0,0,5,0,0,788,968,5
71,72,57,68,15,0,15,0,0,0,268,367,15
72,73,47,16,25,25,0,0,0,0,31,208,25
73,74,44,17,9,0,0,0,9,0,308,399,9
74,75,46,13,8,0,0,0,0,8,681,802,8
75,76,49,11,18,0,0,18,0,0,236,345,18
76,77,49,42,13,0,0,13,0,0,290,373,13
77,78,53,43,14,0,0,0,14,0,817,952,14
78,79,61,52,3,0,3,0,0,0,384,499,3
79,80,57,48,23,0,0,0,0,23,388,465,23
80,81,56,37,6,0,0,0,6,0,839,968,6
81,82,55,54,26,0,0,26,0,0,411,456,26
82,83,15,47,16,0,0,0,16,0,162,289,16
83,84,14,37,11,0,0,0,11,0,96,249,11
84,85,11,31,7,0,7,0,0,0,436,511,7
85,86,16,22,41,0,41,0,0,0,376,461,41
86,87,4,18,35,0,0,0,0,35,388,465,35
87,88,28,18,26,0,26,0,0,0,420,447,26
88,89,26,52,9,0,0,9,0,0,279,388,9
89,90,26,35,15,0,0,15,0,0,755,920,15
90,91,31,67,3,0,0,0,0,3,392,487,3
91,92,15,19,1,0,0,0,1,0,739,866,1
92,93,22,22,2,2,0,0,0,0,18,181,2
93,94,18,24,22,22,0,0,0,0,811,969,22
94,95,26,27,27,0,0,0,0,27,436,503,27
95,96,25,24,20,0,0,0,20,0,92,231,20
96,97,22,27,11,0,11,0,0,0,607,690,11
97,98,25,21,12,0,0,0,12,0,612,673,12
98,99,19,21,10,0,0,0,0,10,183,306,10
99,100,20,26,9,0,0,0,0,9,333,432,9
100,101,18,18,17,0,0,0,17,0,798,965,17
