CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
1,35,35,0,0,0,0,0,0,0,1000,0
2,41,49,10,10,0,0,0,0,451,974,10
3,35,17,7,0,0,0,0,7,18,534,7
4,55,45,13,0,0,0,0,13,378,733,13
5,55,20,19,0,0,0,19,0,477,965,19
6,15,30,26,26,0,0,0,0,20,610,26
7,25,30,3,0,3,0,0,0,245,684,3
8,20,50,5,5,0,0,0,0,172,569,5
9,10,43,9,0,0,0,0,9,245,640,9
10,55,60,16,0,0,16,0,0,231,666,16
11,30,60,16,0,0,0,16,0,430,779,16
12,20,65,12,0,12,0,0,0,33,511,12
13,50,35,19,0,0,0,19,0,50,523,19
14,30,25,23,23,0,0,0,0,462,978,23
15,15,10,20,0,0,0,20,0,32,694,20
16,30,5,8,0,8,0,0,0,30,519,8
17,10,20,19,0,0,0,0,19,102,543,19
18,5,30,2,2,0,0,0,0,444,959,2
19,20,40,12,0,0,12,0,0,229,582,12
20,15,60,17,17,0,0,0,0,95,552,17
21,45,65,9,0,0,0,9,0,418,829,9
22,45,20,11,0,11,0,0,0,36,509,11
23,45,10,18,0,0,18,0,0,246,657,18
24,55,5,29,0,0,0,29,0,36,514,29
25,65,35,3,0,3,0,0,0,435,960,3
26,65,20,6,6,0,0,0,0,438,956,6
27,45,30,17,17,0,0,0,0,428,827,17
28,35,40,16,0,16,0,0,0,5,548,16
29,41,37,16,0,0,16,0,0,6,526,16
30,64,42,9,0,9,0,0,0,29,513,9
31,40,60,21,0,0,0,0,21,91,522,21
32,31,52,27,0,0,0,27,0,17,501,27
33,35,69,23,0,23,0,0,0,482,955,23
34,53,52,11,0,11,0,0,0,24,575,11
35,65,55,14,0,0,14,0,0,367,776,14
36,63,65,8,0,8,0,0,0,453,948,8
37,2,60,5,0,5,0,0,0,41,615,5
38,20,20,8,8,0,0,0,0,443,856,8
39,5,5,16,0,0,0,16,0,130,577,16
40,60,12,31,31,0,0,0,0,33,655,31
41,40,25,9,0,0,0,9,0,201,596,9
42,42,7,5,5,0,0,0,0,219,688,5
43,24,12,5,0,5,0,0,0,25,560,5
44,23,3,7,0,0,7,0,0,458,867,7
45,11,14,18,0,0,0,0,18,59,514,18
46,6,38,16,0,16,0,0,0,29,589,16
47,2,48,1,0,0,0,0,1,338,805,1
48,8,56,27,0,0,27,0,0,34,602,27
49,13,52,36,0,0,0,0,36,454,962,36
50,6,68,30,0,0,0,30,0,362,679,30
51,47,47,13,0,0,0,13,0,379,810,13
52,49,58,10,0,10,0,0,0,176,625,10
53,27,43,9,0,9,0,0,0,11,502,9
54,37,31,14,0,14,0,0,0,256,647,14
55,57,29,18,0,18,0,0,0,475,900,18
56,63,23,2,0,2,0,0,0,441,918,2
57,53,12,6,0,0,6,0,0,412,865,6
58,32,12,7,0,0,0,7,0,246,705,7
59,36,26,18,0,0,18,0,0,479,980,18
60,21,24,28,0,0,0,28,0,17,681,28
61,17,34,3,0,3,0,0,0,449,971,3
62,12,24,13,0,0,0,0,13,126,541,13
63,24,58,19,0,19,0,0,0,25,544,19
64,27,69,10,0,0,0,0,10,34,588,10
65,15,77,9,9,0,0,0,0,46,524,9
66,62,77,20,0,0,20,0,0,49,568,20
67,49,73,25,0,0,0,25,0,421,864,25
68,67,5,25,0,0,0,0,25,120,575,25
69,56,39,36,0,0,36,0,0,459,930,36
70,37,47,6,0,6,0,0,0,12,513,6
71,37,56,5,0,0,5,0,0,368,968,5
72,57,68,15,0,15,0,0,0,98,537,15
73,47,16,25,25,0,0,0,0,22,617,25
74,44,17,9,0,0,0,9,0,143,564,9
75,46,13,8,0,0,0,0,8,482,965,8
76,49,11,18,0,0,18,0,0,62,519,18
77,49,42,13,0,0,13,0,0,129,534,13
78,53,43,14,0,0,0,14,0,460,970,14
79,61,52,3,0,3,0,0,0,207,676,3
80,57,48,23,0,0,0,0,23,230,623,23
81,56,37,6,0,0,0,6,0,470,968,6
82,55,54,26,0,0,26,0,0,268,599,26
83,15,47,16,0,0,0,16,0,23,515,16
84,14,37,11,0,0,0,11,0,21,568,11
85,11,31,7,0,7,0,0,0,278,669,7
86,16,22,41,0,41,0,0,0,213,624,41
87,4,18,35,0,0,0,0,35,230,623,35
88,28,18,26,0,26,0,0,0,287,580,26
89,26,52,9,0,0,9,0,0,104,563,9
90,26,35,15,0,0,15,0,0,409,981,15
91,31,67,3,0,0,0,0,3,225,654,3
92,15,19,1,0,0,0,1,0,469,964,1
93,22,22,2,2,0,0,0,0,18,585,2
94,18,24,22,22,0,0,0,0,414,969,22
95,26,27,27,0,0,0,0,27,283,656,27
96,25,24,20,0,0,0,20,0,14,533,20
97,22,27,11,0,11,0,0,0,445,852,11
98,25,21,12,0,0,0,12,0,462,823,12
99,19,21,10,0,0,0,0,10,21,506,10
100,20,26,9,0,0,0,0,9,164,601,9
101,18,18,17,0,0,0,17,0,391,965,17
