,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,40,50,0,0,0,0,0,0,0,240,0
1,2,25,85,20,20,0,0,0,0,71,191,20
2,3,22,75,30,0,0,0,0,30,30,150,30
3,4,22,85,10,0,0,0,0,10,64,184,10
4,5,20,80,40,0,0,0,40,0,151,161,40
5,6,20,85,20,20,0,0,0,0,40,160,20
6,7,18,75,20,0,20,0,0,0,96,123,20
7,8,15,75,20,20,0,0,0,0,35,155,20
8,9,15,80,10,0,0,0,0,10,101,111,10
9,10,10,35,20,0,0,20,0,0,101,111,20
10,11,10,40,30,0,0,0,30,0,123,144,30
11,12,8,40,40,0,40,0,0,0,69,79,40
12,13,8,45,20,0,0,0,20,0,32,152,20
13,14,5,35,10,10,0,0,0,0,152,162,10
14,15,5,45,10,0,0,0,10,0,35,117,10
15,16,2,40,20,0,20,0,0,0,68,78,20
16,17,0,40,20,0,0,0,0,20,59,114,20
17,18,0,45,20,20,0,0,0,0,147,180,20
18,19,44,5,20,0,0,20,0,0,79,124,20
19,20,42,10,40,40,0,0,0,0,58,115,40
20,21,42,15,10,0,0,0,10,0,111,162,10
21,22,40,5,10,0,10,0,0,0,45,165,10
22,23,40,15,40,0,0,40,0,0,94,119,40
23,24,38,5,30,0,0,0,30,0,75,85,30
24,25,38,15,10,0,10,0,0,0,128,194,10
25,26,35,5,20,20,0,0,0,0,171,181,20
26,27,95,30,30,30,0,0,0,0,58,171,30
27,28,95,35,20,0,20,0,0,0,60,93,20
28,29,92,30,10,0,0,10,0,0,55,120,10
29,30,90,35,10,0,10,0,0,0,52,112,10
30,31,88,30,10,0,0,0,0,10,75,102,10
31,32,88,35,20,0,0,0,20,0,50,170,20
32,33,87,30,10,0,10,0,0,0,116,175,10
33,34,85,25,10,0,10,0,0,0,51,85,10
34,35,85,35,30,0,0,30,0,0,62,182,30
35,36,67,85,20,0,20,0,0,0,138,169,20
36,37,65,85,40,0,40,0,0,0,43,78,40
37,38,65,82,10,10,0,0,0,0,69,189,10
38,39,62,80,30,0,0,0,30,0,85,95,30
39,40,60,80,10,10,0,0,0,0,36,74,10
40,41,60,85,30,0,0,0,30,0,87,112,30
41,42,58,75,20,20,0,0,0,0,92,121,20
42,43,55,80,10,0,10,0,0,0,33,66,10
43,44,55,85,20,0,0,20,0,0,117,168,20
44,45,55,82,10,0,0,0,0,10,74,84,10
45,46,20,82,10,0,10,0,0,0,37,72,10
46,47,18,80,10,0,0,0,0,10,98,157,10
47,48,2,45,10,0,0,10,0,0,38,109,10
48,49,42,5,10,0,0,0,0,10,64,184,10
49,50,42,12,10,0,0,0,10,0,109,128,10
50,51,72,35,30,0,0,0,30,0,71,191,30
51,52,55,20,19,0,19,0,0,0,69,126,19
52,53,25,30,3,0,3,0,0,0,25,145,3
53,54,20,50,5,0,5,0,0,0,101,111,5
54,55,55,60,16,0,16,0,0,0,127,180,16
55,56,30,60,16,0,16,0,0,0,150,160,16
56,57,50,35,19,0,0,19,0,0,130,159,19
57,58,30,25,23,0,0,0,23,0,82,139,23
58,59,15,10,20,0,0,20,0,0,172,182,20
59,60,10,20,19,0,0,0,19,0,42,162,19
60,61,15,60,17,0,17,0,0,0,137,202,17
61,62,45,65,9,0,0,0,0,9,55,106,9
62,63,65,35,3,0,3,0,0,0,62,72,3
63,64,65,20,6,0,0,0,0,6,39,108,6
64,65,45,30,17,17,0,0,0,0,53,82,17
65,66,35,40,16,0,0,16,0,0,11,43,16
66,67,41,37,16,0,0,0,16,0,134,161,16
67,68,64,42,9,0,0,0,0,9,80,90,9
68,69,40,60,21,0,0,21,0,0,144,173,21
69,70,31,52,27,0,27,0,0,0,51,61,27
70,71,35,69,23,0,0,23,0,0,172,210,23
71,72,65,55,14,0,14,0,0,0,52,107,14
72,73,63,65,8,8,0,0,0,0,27,147,8
73,74,2,60,5,0,0,0,5,0,65,118,5
74,75,20,20,8,0,0,0,0,8,151,161,8
75,76,5,5,16,0,0,16,0,0,57,172,16
76,77,60,12,31,0,0,31,0,0,85,95,31
77,78,23,3,7,0,0,0,7,0,163,173,7
78,79,8,56,27,0,27,0,0,0,90,119,27
79,80,6,68,30,0,0,0,0,30,99,109,30
80,81,47,47,13,0,0,0,13,0,190,222,13
81,82,49,58,10,0,0,10,0,0,80,121,10
82,83,27,43,9,0,0,0,9,0,14,134,9
83,84,37,31,14,0,0,0,14,0,19,139,14
84,85,57,29,18,0,18,0,0,0,106,116,18
85,86,63,23,2,0,2,0,0,0,42,162,2
86,87,21,24,28,0,0,0,0,28,77,126,28
87,88,12,24,13,0,13,0,0,0,100,110,13
88,89,24,58,19,0,0,19,0,0,67,96,19
89,90,67,5,25,0,0,25,0,0,105,177,25
90,91,37,47,6,0,0,0,0,6,74,127,6
91,92,49,42,13,0,0,0,13,0,97,217,13
92,93,53,43,14,14,0,0,0,0,15,25,14
93,94,61,52,3,3,0,0,0,0,173,208,3
94,95,57,48,23,0,0,0,0,23,50,170,23
95,96,56,37,6,0,0,0,6,0,20,140,6
96,97,55,54,26,0,26,0,0,0,87,207,26
97,98,4,18,35,0,0,0,35,0,112,157,35
98,99,26,52,9,0,0,0,0,9,14,134,9
99,100,26,35,15,0,0,0,0,15,87,97,15
100,101,31,67,3,0,0,0,3,0,200,210,3
