CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,0,0,0,0,0,960,0
2,25,85,20,20,0,0,0,0,388,911,20
3,22,75,30,0,0,0,0,30,30,546,30
4,22,85,10,0,0,0,0,10,353,708,10
5,20,80,40,0,0,0,40,0,425,913,40
6,20,85,20,20,0,0,0,0,40,630,20
7,18,75,20,0,20,0,0,0,228,667,20
8,15,75,20,20,0,0,0,0,161,558,20
9,15,80,10,0,0,0,0,10,229,624,10
10,10,35,20,0,0,20,0,0,213,648,20
11,10,40,30,0,0,0,30,0,404,753,30
12,8,40,40,0,40,0,0,0,33,511,40
13,8,45,20,0,0,0,20,0,46,519,20
14,5,35,10,10,0,0,0,0,395,911,10
15,5,45,10,0,0,0,10,0,35,697,10
16,2,40,20,0,20,0,0,0,39,528,20
17,0,40,20,0,0,0,0,20,94,535,20
18,0,45,20,20,0,0,0,0,394,909,20
19,44,5,20,0,0,20,0,0,218,571,20
20,42,10,40,40,0,0,0,0,85,542,40
21,42,15,10,0,0,0,10,0,391,802,10
22,40,5,10,0,10,0,0,0,45,517,10
23,40,15,40,0,0,40,0,0,229,640,40
24,38,5,30,0,0,0,30,0,45,523,30
25,38,15,10,0,10,0,0,0,389,914,10
26,35,5,20,20,0,0,0,0,386,904,20
27,95,30,30,30,0,0,0,0,389,788,30
28,95,35,20,0,20,0,0,0,57,600,20
29,92,30,10,0,0,10,0,0,55,575,10
30,90,35,10,0,10,0,0,0,52,536,10
31,88,30,10,0,0,0,0,10,90,521,10
32,88,35,20,0,0,0,20,0,50,534,20
33,87,30,10,0,10,0,0,0,425,898,10
34,85,25,10,0,10,0,0,0,51,602,10
35,85,35,30,0,0,30,0,0,342,751,30
36,67,85,20,0,20,0,0,0,410,905,20
37,65,85,40,0,40,0,0,0,43,617,40
38,65,82,10,10,0,0,0,0,410,823,10
39,62,80,30,0,0,0,30,0,114,561,30
40,60,80,10,10,0,0,0,0,36,658,10
41,60,85,30,0,0,0,30,0,191,586,30
42,58,75,20,20,0,0,0,0,201,670,20
43,55,80,10,0,10,0,0,0,33,568,10
44,55,85,20,0,0,20,0,0,429,838,20
45,55,82,10,0,0,0,0,10,49,504,10
46,20,82,10,0,10,0,0,0,37,597,10
47,18,80,10,0,0,0,0,10,315,782,10
48,2,45,10,0,0,10,0,0,38,606,10
49,42,5,10,0,0,0,0,10,396,904,10
50,42,12,10,0,0,0,10,0,341,658,10
51,72,35,30,0,0,0,30,0,351,782,30
52,55,20,19,0,19,0,0,0,161,610,19
53,25,30,3,0,3,0,0,0,25,516,3
54,20,50,5,0,5,0,0,0,239,630,5
55,55,60,16,0,16,0,0,0,448,873,16
56,30,60,16,0,16,0,0,0,420,897,16
57,50,35,19,0,0,19,0,0,390,843,19
58,30,25,23,0,0,0,23,0,227,686,23
59,15,10,20,0,0,20,0,0,401,902,20
60,10,20,19,0,0,0,19,0,42,706,19
61,15,60,17,0,17,0,0,0,401,923,17
62,45,65,9,0,0,0,0,9,110,525,9
63,65,35,3,0,3,0,0,0,29,548,3
64,65,20,6,0,0,0,0,6,39,593,6
65,45,30,17,17,0,0,0,0,20,498,17
66,35,40,16,0,0,16,0,0,11,530,16
67,41,37,16,0,0,0,16,0,404,847,16
68,64,42,9,0,0,0,0,9,100,555,9
69,40,60,21,0,0,21,0,0,436,907,21
70,31,52,27,0,27,0,0,0,9,510,27
71,35,69,23,0,0,23,0,0,330,930,23
72,65,55,14,0,14,0,0,0,81,520,14
73,63,65,8,8,0,0,0,0,27,622,8
74,2,60,5,0,0,0,5,0,135,556,5
75,20,20,8,0,0,0,0,8,430,913,8
76,5,5,16,0,0,16,0,0,63,520,16
77,60,12,31,0,0,31,0,0,125,530,31
78,23,3,7,0,0,0,7,0,390,900,7
79,8,56,27,0,27,0,0,0,190,659,27
80,6,68,30,0,0,0,0,30,215,608,30
81,47,47,13,0,0,0,13,0,444,942,13
82,49,58,10,0,0,10,0,0,249,580,10
83,27,43,9,0,0,0,9,0,14,506,9
84,37,31,14,0,0,0,14,0,19,566,14
85,57,29,18,0,18,0,0,0,259,650,18
86,63,23,2,0,2,0,0,0,198,609,2
87,21,24,28,0,0,0,0,28,212,605,28
88,12,24,13,0,13,0,0,0,272,565,13
89,24,58,19,0,0,19,0,0,90,549,19
90,67,5,25,0,0,25,0,0,325,897,25
91,37,47,6,0,0,0,0,6,204,633,6
92,49,42,13,0,0,0,13,0,442,937,13
93,53,43,14,14,0,0,0,0,14,581,14
94,61,52,3,3,0,0,0,0,373,928,3
95,57,48,23,0,0,0,0,23,265,638,23
96,56,37,6,0,0,0,6,0,20,539,6
97,55,54,26,0,26,0,0,0,418,825,26
98,4,18,35,0,0,0,35,0,426,787,35
99,26,52,9,0,0,0,0,9,14,499,9
100,26,35,15,0,0,0,0,15,149,586,15
101,31,67,3,0,0,0,3,0,356,930,3
